premises_suburb, state, premises_post_code, division_name, polling_place_name, polling_place_id
"BALWYN NORTH","VIC","3104","Kooyong","Bellevue","4204"
"CAMBERWELL","VIC","3124","Kooyong","BLV Kooyong PPVC","65528"
"BALWYN NORTH","VIC","3104","Kooyong","Boroondara","4208"
"CAMBERWELL","VIC","3124","Kooyong","Camberwell","3920"
"CANTERBURY","VIC","3126","Kooyong","Camberwell East","4209"
"CAMBERWELL","VIC","3124","Kooyong","Camberwell Middle","3921"
"CANTERBURY","VIC","3126","Kooyong","Camberwell North","4210"
"GLEN IRIS","VIC","3146","Kooyong","Camberwell South (Kooyong)","64001"
"SURREY HILLS","VIC","3127","Kooyong","Canterbury North","4212"
"CANTERBURY","VIC","3126","Kooyong","Canterbury South","4213"
"CANTERBURY","VIC","3126","Kooyong","Chatham","3427"
"KEW","VIC","3101","Kooyong","Cotham","4214"
"DEEPDENE","VIC","3103","Kooyong","Deepdene","4215"
"CAMBERWELL","VIC","3124","Kooyong","Divisional Office (PREPOLL)","30212"
"SURREY HILLS","VIC","3127","Kooyong","Elgar Park (Kooyong)","92454"
"HAWTHORN","VIC","3122","Kooyong","Glenferrie","4217"
"HAWTHORN","VIC","3122","Kooyong","Glenferrie Central","4218"
"HAWTHORN","VIC","3122","Kooyong","Glenferrie South","4220"
"BALWYN NORTH","VIC","3104","Kooyong","Greythorn","4205"
"CAMBERWELL","VIC","3124","Kooyong","Hartwell","3431"
"HAWTHORN","VIC","3122","Kooyong","Hawthorn","4222"
"HAWTHORN","VIC","3122","Kooyong","Hawthorn KOOYONG PPVC","38306"
"CAMBERWELL","VIC","3124","Kooyong","Highfield Park","3432"
"KEW","VIC","3101","Kooyong","Hyde Park","4223"
"KEW","VIC","3101","Kooyong","Kew","4224"
"KEW EAST","VIC","3102","Kooyong","Kew East","4225"
"KEW EAST","VIC","3102","Kooyong","Kew North","4226"
"KEW","VIC","3101","Kooyong","Kew South","4228"
"BOX HILL NORTH","VIC","3129","Kooyong","Koonung Heights (Kooyong)","63986"
"MALVERN","VIC","3144","Kooyong","Malvern KOOYONG PPVC","65214"
"MELBOURNE","VIC","3000","Kooyong","Melbourne (Kooyong)","32021"
"SOUTHBANK","VIC","3006","Kooyong","Melbourne Central KOOYONG PPVC","97513"
"MELBOURNE","VIC","3000","Kooyong","Melbourne KOOYONG PPVC","83914"
"MONT ALBERT NORTH","VIC","3129","Kooyong","Mont Albert","3438"
"KEW","VIC","3101","Kooyong","Studley Park","4229"
"SURREY HILLS","VIC","3127","Kooyong","Surrey Hills (Kooyong)","3440"
"SURREY HILLS","VIC","3127","Kooyong","Surrey Hills West","4230"
"BEACONSFIELD","VIC","3807","La Trobe","Beaconsfield","4267"
"BEACONSFIELD UPPER","VIC","3808","La Trobe","Beaconsfield Upper","4268"
"BERWICK","VIC","3806","La Trobe","Berwick","4271"
"BERWICK","VIC","3806","La Trobe","Berwick Chase","47817"
"BERWICK","VIC","3806","La Trobe","Berwick Fields (La Trobe)","36440"
"BERWICK","VIC","3806","La Trobe","Berwick LA TROBE PPVC","65129"
"BERWICK","VIC","3806","La Trobe","Berwick Lodge","31057"
"BERWICK","VIC","3806","La Trobe","Berwick South","11651"
"BORONIA","VIC","3155","La Trobe","BLV La Trobe PPVC","65431"
"CRANBOURNE NORTH","VIC","3977","La Trobe","Casey Central (La Trobe)","83818"
"CLEMATIS","VIC","3782","La Trobe","Clematis","4873"
"CLYDE","VIC","3978","La Trobe","Clyde (La Trobe)","3959"
"CLYDE NORTH","VIC","3978","La Trobe","Clyde North (La Trobe)","83666"
"CLYDE NORTH","VIC","3978","La Trobe","Clyde North East","83700"
"COCKATOO","VIC","3781","La Trobe","Cockatoo","4874"
"CRANBOURNE","VIC","3977","La Trobe","Cranbourne LA TROBE PPVC","58658"
"BORONIA","VIC","3155","La Trobe","Divisional Office (PREPOLL)","30214"
"EMERALD","VIC","3782","La Trobe","Emerald","4880"
"GEMBROOK","VIC","3783","La Trobe","Gembrook","4881"
"HARKAWAY","VIC","3806","La Trobe","Harkaway","4289"
"NARRE WARREN SOUTH","VIC","3805","La Trobe","Hillsmeade (La Trobe)","46565"
"MACCLESFIELD","VIC","3782","La Trobe","Macclesfield (La Trobe)","92516"
"NAR NAR GOON","VIC","3812","La Trobe","Nar Nar Goon","4412"
"NAR NAR GOON NORTH","VIC","3812","La Trobe","Nar Nar Goon North","4902"
"NARRE WARREN","VIC","3805","La Trobe","Narre Warren (La Trobe)","32528"
"NARRE WARREN NORTH","VIC","3804","La Trobe","Narre Warren North (La Trobe)","4295"
"NARRE WARREN","VIC","3805","La Trobe","Oatlands","31538"
"OFFICER","VIC","3809","La Trobe","Officer","4296"
"OFFICER","VIC","3809","La Trobe","Officer Central","82933"
"PAKENHAM","VIC","3810","La Trobe","Pakenham","4421"
"PAKENHAM","VIC","3810","La Trobe","Pakenham Central","31058"
"PAKENHAM","VIC","3810","La Trobe","Pakenham East","97590"
"PAKENHAM","VIC","3810","La Trobe","Pakenham Lakeside","46529"
"PAKENHAM","VIC","3810","La Trobe","Pakenham LA TROBE PPVC","46584"
"PAKENHAM","VIC","3810","La Trobe","Pakenham North","4904"
"PAKENHAM","VIC","3810","La Trobe","Pakenham Shearwater","47818"
"PAKENHAM","VIC","3810","La Trobe","Pakenham Springs","65897"
"PAKENHAM UPPER","VIC","3810","La Trobe","Pakenham Upper","31495"
"PAKENHAM","VIC","3810","La Trobe","Pakenham West","83651"
"BERWICK","VIC","3806","La Trobe","Parkhill","46528"
"BERWICK","VIC","3806","La Trobe","Ridgemont","83722"
"BERWICK","VIC","3806","La Trobe","Timbarra","32535"
"PAKENHAM","VIC","3810","La Trobe","Toomuc Valley","4912"
"POINT COOK","VIC","3030","Lalor","Alamanda (Lalor)","65877"
"HOPPERS CROSSING","VIC","3029","Lalor","Bellbridge","4241"
"WERRIBEE","VIC","3030","Lalor","BLV Lalor PPVC","65507"
"POINT COOK","VIC","3030","Lalor","Boardwalk (Lalor)","92483"
"POINT COOK","VIC","3030","Lalor","Boardwalk Central (Lalor)","92485"
"HOPPERS CROSSING","VIC","3029","Lalor","Cambridge","31055"
"TARNEIT","VIC","3029","Lalor","Davis Creek","82873"
"HOPPERS CROSSING","VIC","3029","Lalor","Derrimut Heath","31056"
"WERRIBEE","VIC","3030","Lalor","Divisional Office (PREPOLL)","30213"
"POINT COOK","VIC","3030","Lalor","Featherbrook (Lalor)","82883"
"WERRIBEE","VIC","3030","Lalor","Galvin Park","4260"
"WERRIBEE","VIC","3030","Lalor","Glenorden","8894"
"HOPPERS CROSSING","VIC","3029","Lalor","Hoppers Crossing LALOR PPVC","65525"
"POINT COOK","VIC","3030","Lalor","Innisfail (Lalor)","92487"
"WYNDHAM VALE","VIC","3024","Lalor","Iramoo","4262"
"LITTLE RIVER","VIC","3211","Lalor","Little River","4249"
"WYNDHAM VALE","VIC","3024","Lalor","Manor Lakes","47816"
"WERRIBEE","VIC","3030","Lalor","Manorvale","8895"
"HOPPERS CROSSING","VIC","3029","Lalor","Mossfiel","4253"
"POINT COOK","VIC","3030","Lalor","Point Cook (Lalor)","92484"
"POINT COOK","VIC","3030","Lalor","Sanctuary Lakes (Lalor)","92489"
"TARNEIT","VIC","3029","Lalor","Tarneit","47823"
"TARNEIT","VIC","3029","Lalor","Tarneit Central","65866"
"TARNEIT","VIC","3029","Lalor","Tarneit West","82872"
"HOPPERS CROSSING","VIC","3029","Lalor","The Grange","31621"
"TARNEIT","VIC","3029","Lalor","Thomas Carr","83023"
"WERRIBEE","VIC","3030","Lalor","Thomas Chirnside","31622"
"TRUGANINA","VIC","3029","Lalor","Truganina","65871"
"TRUGANINA","VIC","3029","Lalor","Truganina South (Lalor)","64640"
"WERRIBEE","VIC","3030","Lalor","Werribee","4258"
"WERRIBEE","VIC","3030","Lalor","Werribee Central","4259"
"WERRIBEE","VIC","3030","Lalor","Werribee East","83864"
"WERRIBEE","VIC","3030","Lalor","Werribee PPVC","31959"
"WERRIBEE SOUTH","VIC","3030","Lalor","Werribee South","4261"
"WERRIBEE","VIC","3030","Lalor","Westgrove","31623"
"HOPPERS CROSSING","VIC","3029","Lalor","Woodville","4264"
"WYNDHAM VALE","VIC","3024","Lalor","Wyndham Vale","83024"
"WYNDHAM VALE","VIC","3024","Lalor","Wyndham Vale South","65874"
"ST KILDA","VIC","3182","Macnamara","Acland","4682"
"MELBOURNE","VIC","3004","Macnamara","Albert Park","82955"
"ST KILDA","VIC","3182","Macnamara","Argyle","4656"
"ST KILDA","VIC","3182","Macnamara","Blessington","4685"
"MELBOURNE","VIC","3000","Macnamara","BLV Macnamara PPVC","65427"
"ALBERT PARK","VIC","3206","Macnamara","Bridport","4657"
"CAULFIELD","VIC","3162","Macnamara","Caulfield","3924"
"CAULFIELD EAST","VIC","3145","Macnamara","Caulfield East","3926"
"CAULFIELD NORTH","VIC","3161","Macnamara","Caulfield North","3928"
"CAULFIELD NORTH","VIC","3161","Macnamara","Caulfield Upper","3929"
"MELBOURNE","VIC","3000","Macnamara","Divisional Office (PREPOLL)","30221"
"ELSTERNWICK","VIC","3185","Macnamara","Elsternwick (Macnamara)","3863"
"CAULFIELD SOUTH","VIC","3162","Macnamara","Elsternwick North (Macnamara)","64358"
"ELWOOD","VIC","3184","Macnamara","Elwood","4661"
"ELWOOD","VIC","3184","Macnamara","Elwood Central","97439"
"ELWOOD","VIC","3184","Macnamara","Elwood North","4662"
"SOUTH MELBOURNE","VIC","3207","Macnamara","Emerald Hill","4663"
"SOUTH YARRA","VIC","3141","Macnamara","Fawkner Park (Macnamara)","4655"
"PORT MELBOURNE","VIC","3207","Macnamara","Graham","4665"
"ALBERT PARK","VIC","3206","Macnamara","Kerferd","4669"
"MALVERN","VIC","3144","Macnamara","Malvern MACNAMARA PPVC","65659"
"MELBOURNE","VIC","3000","Macnamara","Melbourne (Macnamara)","32038"
"SOUTHBANK","VIC","3006","Macnamara","Melbourne Central MACNAMARA PPVC","97506"
"MELBOURNE","VIC","3000","Macnamara","Melbourne MACNAMARA PPVC","58641"
"MIDDLE PARK","VIC","3206","Macnamara","Middle Park","4670"
"PORT MELBOURNE","VIC","3207","Macnamara","Port Melbourne","4672"
"PORT MELBOURNE","VIC","3207","Macnamara","Port Melbourne Beach","83608"
"PRAHRAN","VIC","3181","Macnamara","Prahran (Macnamara)","92602"
"PRAHRAN","VIC","3181","Macnamara","Prahran East (Macnamara)","92603"
"ST KILDA EAST","VIC","3183","Macnamara","Ripponlea East","3879"
"ST KILDA","VIC","3182","Macnamara","Ripponlea North","3880"
"ST KILDA","VIC","3182","Macnamara","St Kilda","4681"
"MELBOURNE","VIC","3004","Macnamara","St Kilda MACNAMARA PPVC","11763"
"ST KILDA EAST","VIC","3183","Macnamara","St Kilda North","4683"
"ST KILDA","VIC","3182","Macnamara","St Kilda Park","4684"
"GARDEN CITY","VIC","3207","Macnamara","Sandridge","4686"
"SOUTHBANK","VIC","3006","Macnamara","Southbank","36435"
"SOUTH MELBOURNE","VIC","3205","Macnamara","South Melbourne","4687"
"SOUTH YARRA","VIC","3141","Macnamara","South Yarra MACNAMARA PPVC","97465"
"WINDSOR","VIC","3181","Macnamara","Windsor (Macnamara)","4689"
"ABERFELDIE","VIC","3040","Maribyrnong","Aberfeldie","4580"
"AIRPORT WEST","VIC","3042","Maribyrnong","Airport West","4600"
"ASCOT VALE","VIC","3032","Maribyrnong","Ascot Vale (Maribyrnong)","82956"
"ASCOT VALE","VIC","3032","Maribyrnong","Ascot Vale Central","4612"
"ASCOT VALE","VIC","3032","Maribyrnong","Ascot Vale East","4613"
"ASCOT VALE","VIC","3032","Maribyrnong","Ascot Vale West","4614"
"AVONDALE HEIGHTS","VIC","3034","Maribyrnong","Avondale Heights","3348"
"AVONDALE HEIGHTS","VIC","3034","Maribyrnong","Avondale Heights Central","12080"
"AVONDALE HEIGHTS","VIC","3034","Maribyrnong","Avondale Heights West","83781"
"ESSENDON FIELDS","VIC","3041","Maribyrnong","BLV Maribyrnong PPVC","65566"
"ESSENDON","VIC","3040","Maribyrnong","Buckley Park","4582"
"ESSENDON FIELDS","VIC","3041","Maribyrnong","Divisional Office (PREPOLL)","30216"
"ESSENDON","VIC","3040","Maribyrnong","Essendon","33305"
"ESSENDON","VIC","3040","Maribyrnong","Essendon MARIBYRNONG PPVC","33128"
"ESSENDON NORTH","VIC","3041","Maribyrnong","Essendon North","4585"
"ESSENDON","VIC","3040","Maribyrnong","Essendon South","4586"
"ESSENDON","VIC","3040","Maribyrnong","Essendon West","4587"
"FLEMINGTON","VIC","3031","Maribyrnong","Flemington (Maribyrnong)","4634"
"FOOTSCRAY","VIC","3011","Maribyrnong","Footscray (Maribyrnong)","92866"
"WEST FOOTSCRAY","VIC","3012","Maribyrnong","Footscray MARIBYRNONG PPVC","83764"
"WEST FOOTSCRAY","VIC","3012","Maribyrnong","Footscray North","33261"
"WEST FOOTSCRAY","VIC","3012","Maribyrnong","Footscray West","3686"
"ESSENDON","VIC","3040","Maribyrnong","Glenbervie","4590"
"GOWANBRAE","VIC","3043","Maribyrnong","Gowanbrae","38411"
"KEILOR EAST","VIC","3033","Maribyrnong","Keilor East","3358"
"KEILOR EAST","VIC","3033","Maribyrnong","Keilor Heights","4592"
"KEILOR EAST","VIC","3033","Maribyrnong","Keilor South","4594"
"KENSINGTON","VIC","3031","Maribyrnong","Kensington (Maribyrnong)","92927"
"FOOTSCRAY","VIC","3011","Maribyrnong","Maidstone","64267"
"MARIBYRNONG","VIC","3032","Maribyrnong","Maribyrnong","3692"
"MELBOURNE","VIC","3000","Maribyrnong","Melbourne (Maribyrnong)","32041"
"SOUTHBANK","VIC","3006","Maribyrnong","Melbourne Central MARIBYRNONG PPVC","97514"
"MELBOURNE","VIC","3000","Maribyrnong","Melbourne MARIBYRNONG PPVC","83918"
"ESSENDON","VIC","3040","Maribyrnong","Moonee Ponds Central","4597"
"MOONEE PONDS","VIC","3039","Maribyrnong","Moonee Ponds West","4599"
"NIDDRIE","VIC","3042","Maribyrnong","Niddrie Central","4601"
"STRATHMORE","VIC","3041","Maribyrnong","Strathmore","4603"
"STRATHMORE","VIC","3041","Maribyrnong","Strathmore North (Maribyrnong)","4604"
"SUNSHINE WEST","VIC","3020","Maribyrnong","Sunshine MARIBYRNONG PPVC","92914"
"BRAYBROOK","VIC","3019","Maribyrnong","Tottenham North (Maribyrnong)","92913"
"CRAIGIEBURN","VIC","3064","McEwen","Aitken Creek (McEwen)","92672"
"ARTHURS CREEK","VIC","3099","McEwen","Arthurs Creek","4309"
"BEVERIDGE","VIC","3753","McEwen","Beveridge","4312"
"BOLINDA","VIC","3432","McEwen","Bolinda","3260"
"BROADFORD","VIC","3658","McEwen","Broadford (McEwen)","92656"
"BULLENGAROOK","VIC","3437","McEwen","Bullengarook","3263"
"CLONBINANE","VIC","3658","McEwen","Clonbinane","11891"
"CRAIGIEBURN","VIC","3064","McEwen","Craigieburn MCEWEN PPVC","65865"
"DARRAWEIT GUIM","VIC","3756","McEwen","Darraweit Guim","4317"
"WOODSTOCK","VIC","3751","McEwen","Donnybrook","4334"
"DOREEN","VIC","3754","McEwen","Doreen","4318"
"DOREEN","VIC","3754","McEwen","Doreen Central","65896"
"DOREEN","VIC","3754","McEwen","Doreen East","82920"
"GISBORNE","VIC","3437","McEwen","Gisborne","3284"
"GISBORNE","VIC","3437","McEwen","Gisborne South","47803"
"HURSTBRIDGE","VIC","3099","McEwen","Hurstbridge","3385"
"SUNBURY","VIC","3429","McEwen","Jacksons Hill","83249"
"KANGAROO GROUND","VIC","3097","McEwen","Kangaroo Ground (McEwen)","64156"
"SUNBURY","VIC","3429","McEwen","Killara","33101"
"KILMORE","VIC","3764","McEwen","Kilmore","4335"
"KILMORE","VIC","3764","McEwen","Kilmore Central","82921"
"LANCEFIELD","VIC","3435","McEwen","Lancefield","3299"
"DOREEN","VIC","3754","McEwen","Laurimar","47802"
"DOREEN","VIC","3754","McEwen","Laurimar Central","83314"
"MACEDON","VIC","3440","McEwen","Macedon","3302"
"MERNDA","VIC","3754","McEwen","Mernda (McEwen)","4340"
"MERNDA","VIC","3754","McEwen","Mernda Central (McEwen)","92669"
"MERNDA","VIC","3754","McEwen","Mernda Park (McEwen)","92670"
"MERNDA","VIC","3754","McEwen","Mernda South (McEwen)","83324"
"MILL PARK","VIC","3082","McEwen","Mill Park MCEWEN PPVC","97522"
"MOUNT MACEDON","VIC","3441","McEwen","Mount Macedon","3313"
"MICKLEHAM","VIC","3064","McEwen","Mount Ridley North (McEwen)","92671"
"NEW GISBORNE","VIC","3438","McEwen","New Gisborne","3317"
"PANTON HILL","VIC","3759","McEwen","Panton Hill","3395"
"RIDDELLS CREEK","VIC","3431","McEwen","Riddell","3322"
"ROMSEY","VIC","3434","McEwen","Romsey","3323"
"ST ANDREWS","VIC","3761","McEwen","St Andrews","3403"
"SUNBURY","VIC","3429","McEwen","Sunbury","3327"
"SUNBURY","VIC","3429","McEwen","Sunbury Central PPVC","82784"
"SUNBURY","VIC","3429","McEwen","Sunbury East","11515"
"SUNBURY","VIC","3429","McEwen","Sunbury Heights","11516"
"SUNBURY","VIC","3429","McEwen","Sunbury North","3329"
"SUNBURY","VIC","3429","McEwen","Sunbury West","3330"
"SUNBURY","VIC","3429","McEwen","Sunbury West PPVC","58636"
"WALLAN","VIC","3756","McEwen","Wallan Central","4370"
"WALLAN","VIC","3756","McEwen","Wallan PPVC","83416"
"WALLAN","VIC","3756","McEwen","Wallan South","65451"
"WALLAN","VIC","3756","McEwen","Wallan Wallan","4371"
"WANDONG","VIC","3758","McEwen","Wandong","4372"
"WHITTLESEA","VIC","3757","McEwen","Whittlesea","4374"
"WHITTLESEA","VIC","3757","McEwen","Whittlesea Central","83308"
"WOLLERT","VIC","3750","McEwen","Wollert","4375"
"YAN YEAN","VIC","3755","McEwen","Yan Yean","4377"
"YARRAMBAT","VIC","3091","McEwen","Yarrambat","3411"
"ABBOTSFORD","VIC","3067","Melbourne","Abbotsford","4610"
"ABBOTSFORD","VIC","3067","Melbourne","Abbotsford South","82957"
"ASCOT VALE","VIC","3032","Melbourne","Ascot Vale (Melbourne)","93180"
"MELBOURNE","VIC","3000","Melbourne","BLV Melbourne PPVC","65426"
"BRUNSWICK EAST","VIC","3057","Melbourne","Brunswick East (Melbourne)","93181"
"BRUNSWICK EAST","VIC","3057","Melbourne","Brunswick South East (Melbourne)","64351"
"RICHMOND","VIC","3121","Melbourne","Burnley","4678"
"PARKVILLE","VIC","3052","Melbourne","Carlton","4621"
"CARLTON NORTH","VIC","3054","Melbourne","Carlton Central","4622"
"CARLTON","VIC","3053","Melbourne","Carlton South","4624"
"RICHMOND","VIC","3121","Melbourne","Citizens Park","83674"
"COLLINGWOOD","VIC","3066","Melbourne","Collingwood","4626"
"CLIFTON HILL","VIC","3068","Melbourne","Collingwood North (Melbourne)","64353"
"RICHMOND","VIC","3121","Melbourne","Cremorne","4679"
"FITZROY NORTH","VIC","3068","Melbourne","Delbridge","4628"
"MELBOURNE","VIC","3000","Melbourne","Divisional Office (PREPOLL)","30219"
"DOCKLANDS","VIC","3008","Melbourne","Docklands","47808"
"EAST MELBOURNE","VIC","3002","Melbourne","East Melbourne","4629"
"FITZROY","VIC","3065","Melbourne","Fitzroy","4631"
"FITZROY","VIC","3065","Melbourne","Fitzroy East","33053"
"FITZROY NORTH","VIC","3068","Melbourne","Fitzroy North","4633"
"FLEMINGTON","VIC","3031","Melbourne","Flemington (Melbourne)","93179"
"NORTH MELBOURNE","VIC","3051","Melbourne","Hotham Hill","4635"
"KENSINGTON","VIC","3031","Melbourne","Kensington (Melbourne)","4636"
"KENSINGTON","VIC","3031","Melbourne","Kensington Central","64658"
"MELBOURNE","VIC","3000","Melbourne","Melbourne (Melbourne)","4637"
"MELBOURNE","VIC","3000","Melbourne","Melbourne MELBOURNE PPVC","14318"
"FITZROY NORTH","VIC","3068","Melbourne","Merri (Melbourne)","4638"
"THORNBURY","VIC","3071","Melbourne","Northcote MELBOURNE PPVC","64641"
"NORTH MELBOURNE","VIC","3051","Melbourne","North Melbourne","4640"
"NORTH MELBOURNE","VIC","3051","Melbourne","North Melbourne Central","4641"
"PARKVILLE","VIC","3052","Melbourne","Parkville","4642"
"PRINCES HILL","VIC","3054","Melbourne","Princes Hill","4630"
"RICHMOND","VIC","3121","Melbourne","Richmond","4677"
"RICHMOND","VIC","3121","Melbourne","Richmond Central","4643"
"RICHMOND","VIC","3121","Melbourne","Richmond North","4644"
"ABBOTSFORD","VIC","3067","Melbourne","Richmond PPVC","97466"
"RICHMOND","VIC","3121","Melbourne","Richmond West","11893"
"SOUTH YARRA","VIC","3141","Melbourne","South Yarra MELBOURNE PPVC","97463"
"PARKVILLE","VIC","3052","Melbourne","Special Hospital Team 3","4652"
"PARKVILLE","VIC","3052","Melbourne","Special Hospital Team 5","31964"
"PARKVILLE","VIC","3052","Melbourne","Special Hospital Team 6","31965"
"FITZROY","VIC","3065","Melbourne","Special Hospital Team 7","31966"
"DONCASTER EAST","VIC","3109","Menzies","Beverley Hills","4692"
"RINGWOOD","VIC","3134","Menzies","BLV Menzies PPVC","65422"
"BULLEEN","VIC","3105","Menzies","Bulleen","4694"
"CROYDON HILLS","VIC","3136","Menzies","Croydon Hills (Menzies)","3377"
"RINGWOOD","VIC","3134","Menzies","Divisional Office (PREPOLL)","30220"
"DONCASTER EAST","VIC","3109","Menzies","Donburn","4696"
"DONCASTER","VIC","3108","Menzies","Doncaster","4697"
"DONCASTER","VIC","3108","Menzies","Doncaster Central","4698"
"DONCASTER EAST","VIC","3109","Menzies","Doncaster East","4699"
"DONCASTER EAST","VIC","3109","Menzies","Doncaster East PPVC","32953"
"DONCASTER EAST","VIC","3109","Menzies","Doncaster Gardens","4715"
"DONCASTER EAST","VIC","3109","Menzies","Doncaster Heights","4700"
"DONCASTER","VIC","3108","Menzies","Doncaster South","4702"
"DONCASTER","VIC","3108","Menzies","Doncaster West","4703"
"DONVALE","VIC","3111","Menzies","Donvale","3383"
"ELTHAM","VIC","3095","Menzies","Eltham (Menzies)","4704"
"ELTHAM","VIC","3095","Menzies","Eltham East","4705"
"ELTHAM NORTH","VIC","3095","Menzies","Eltham North (Menzies)","4706"
"ELTHAM NORTH","VIC","3095","Menzies","Glendale (Menzies)","93236"
"GREENSBOROUGH","VIC","3088","Menzies","Greensborough MENZIES PPVC","93237"
"DONCASTER EAST","VIC","3109","Menzies","Gumnut Gully","11875"
"HEIDELBERG","VIC","3084","Menzies","Heidelberg MENZIES PPVC","65654"
"RINGWOOD","VIC","3134","Menzies","Kalinda (Menzies)","64394"
"KANGAROO GROUND","VIC","3097","Menzies","Kangaroo Ground (Menzies)","3387"
"TEMPLESTOWE LOWER","VIC","3107","Menzies","Lower Templestowe","4708"
"DONCASTER","VIC","3108","Menzies","Manningham","32894"
"DONCASTER EAST","VIC","3109","Menzies","Milgate","4709"
"MITCHAM NORTH","VIC","3132","Menzies","Mitcham North (Menzies)","65221"
"MONTMORENCY","VIC","3094","Menzies","Montmorency South (Menzies)","93229"
"PARK ORCHARDS","VIC","3114","Menzies","Park Orchards","3396"
"RESEARCH","VIC","3095","Menzies","Research","31788"
"RINGWOOD NORTH","VIC","3134","Menzies","Ringwood MENZIES PPVC","58638"
"RINGWOOD NORTH","VIC","3134","Menzies","Ringwood North (Menzies)","3401"
"ELTHAM NORTH","VIC","3095","Menzies","St Helena (Menzies)","93231"
"TEMPLESTOWE","VIC","3106","Menzies","Serpell","4710"
"TEMPLESTOWE","VIC","3106","Menzies","Templestowe","4711"
"TEMPLESTOWE LOWER","VIC","3107","Menzies","Templestowe Heights","4712"
"TEMPLESTOWE","VIC","3106","Menzies","Templestowe Park","4713"
"TEMPLESTOWE LOWER","VIC","3107","Menzies","Templestowe Valley","4714"
"TEMPLESTOWE LOWER","VIC","3107","Menzies","Templestowe West","83724"
"DONCASTER EAST","VIC","3109","Menzies","The Pines","11876"
"DONVALE","VIC","3111","Menzies","Tunstall","3404"
"WARRANDYTE","VIC","3113","Menzies","Warrandyte","3405"
"NORTH WARRANDYTE","VIC","3113","Menzies","Warrandyte North","3406"
"WARRANWOOD","VIC","3134","Menzies","Warranwood (Menzies)","31844"
"WONGA PARK","VIC","3115","Menzies","Wonga Park","3409"
"BULLEEN","VIC","3105","Menzies","Yarraleen","4716"
"CROYDON NORTH","VIC","3136","Menzies","Yarra Road (Menzies)","93241"
"ARAWATA","VIC","3951","Monash","Arawata","3716"
"BASS","VIC","3991","Monash","Bass","3614"
"BAYLES","VIC","3981","Monash","Bayles","3616"
"BENA","VIC","3946","Monash","Bena","3722"
"BUNYIP","VIC","3815","Monash","Bunyip","4385"
"CORINELLA","VIC","3984","Monash","Corinella","3622"
"COWES","VIC","3922","Monash","Cowes","3623"
"COWES","VIC","3922","Monash","Cowes PPVC","46625"
"CRANBOURNE","VIC","3977","Monash","Cranbourne MONASH PPVC","93025"
"DROUIN","VIC","3818","Monash","Drouin","4391"
"DROUIN","VIC","3818","Monash","Drouin Central","83698"
"DROUIN SOUTH","VIC","3818","Monash","Drouin South","3750"
"DROUIN","VIC","3818","Monash","Drouin Summerhill","64676"
"DROUIN WEST","VIC","3818","Monash","Drouin West","4392"
"GARFIELD","VIC","3814","Monash","Garfield","4395"
"GRANTVILLE","VIC","3984","Monash","Grantville","3634"
"KERNOT","VIC","3979","Monash","Kernot","32326"
"KOO WEE RUP","VIC","3981","Monash","Kooweerup","3637"
"KORUMBURRA","VIC","3950","Monash","Korumburra","3777"
"LABERTOUCHE","VIC","3816","Monash","Labertouche","4400"
"LANG LANG","VIC","3984","Monash","Lang Lang","3639"
"LOCH","VIC","3945","Monash","Loch","3641"
"LONGWARRY","VIC","3816","Monash","Longwarry","4403"
"MARYKNOLL","VIC","3812","Monash","Maryknoll","4890"
"NYORA","VIC","3987","Monash","Nyora","3648"
"PAKENHAM","VIC","3810","Monash","Pakenham MONASH PPVC","93057"
"POOWONG","VIC","3988","Monash","Poowong","3650"
"RHYLL","VIC","3923","Monash","Rhyll","3654"
"TYNONG","VIC","3813","Monash","Tynong","4433"
"BROADFORD","VIC","3658","Nicholls","Broadford (Nicholls)","4315"
"MILL PARK","VIC","3082","Scullin","Blossom Park","33109"
"BUNDOORA","VIC","3083","Scullin","BLV Scullin PPVC","65461"
"BUNDOORA","VIC","3083","Scullin","Divisional Office (PREPOLL)","30223"
"EPPING","VIC","3076","Scullin","Epping","4321"
"EPPING","VIC","3076","Scullin","Epping East","4322"
"EPPING","VIC","3076","Scullin","Epping North","66012"
"EPPING","VIC","3076","Scullin","Epping South","11649"
"EPPING","VIC","3076","Scullin","Epping Views","47750"
"EPPING","VIC","3076","Scullin","Epping West","83631"
"MILL PARK","VIC","3082","Scullin","Findon","8899"
"GREENSBOROUGH","VIC","3088","Scullin","Greensborough SCULLIN PPVC","97520"
"BUNDOORA","VIC","3083","Scullin","Grimshaw (Scullin)","93348"
"LALOR","VIC","3075","Scullin","Lalor","4855"
"THOMASTOWN","VIC","3074","Scullin","Lalor East","4856"
"LALOR","VIC","3075","Scullin","Lalor North","4857"
"LALOR","VIC","3075","Scullin","Lalor Park","4858"
"THOMASTOWN","VIC","3074","Scullin","Lalor South","83689"
"LALOR","VIC","3075","Scullin","Lalor West","4859"
"EPPING","VIC","3076","Scullin","Meadowglen","31767"
"MERNDA","VIC","3754","Scullin","Mernda (Scullin)","93305"
"MERNDA","VIC","3754","Scullin","Mernda Central (Scullin)","82922"
"MERNDA","VIC","3754","Scullin","Mernda Park (Scullin)","82923"
"MERNDA","VIC","3754","Scullin","Mernda South (Scullin)","93340"
"MILL PARK","VIC","3082","Scullin","Mill Park","4345"
"MILL PARK","VIC","3082","Scullin","Mill Park Heights","11890"
